Mean test score,Mean train score,Std test score,Std train score,Mean fit time,C,coef0
0.58250,0.59527,0.02213,0.01143,4.23687,1,0.01
0.74250,0.75598,0.00905,0.00965,3.59448,1,0.1
0.84050,0.87099,0.00542,0.00523,2.24460,10,0.01
0.87450,0.92024,0.01670,0.00719,1.77641,10,0.1
0.88250,1.00000,0.01384,0.00000,1.04100,100,100
0.88250,1.00000,0.01384,0.00000,0.95616,10,100
0.88250,1.00000,0.01384,0.00000,0.96944,1,100
0.88250,1.00000,0.01384,0.00000,0.92172,1000,100
0.88350,0.92874,0.01880,0.01044,1.32461,1,1
0.88450,1.00000,0.01451,0.00000,0.95948,1,10
0.88450,1.00000,0.01451,0.00000,0.97354,10,10
0.88450,1.00000,0.01451,0.00000,1.03424,1000,10
0.88450,1.00000,0.01451,0.00000,1.14919,100,10
0.89850,1.00000,0.01545,0.00000,1.10373,100,1
0.89850,1.00000,0.01545,0.00000,1.05518,1000,1
0.89900,0.99250,0.01616,0.00246,1.06342,10,1
0.90300,0.98375,0.01610,0.00070,1.34384,100,0.01
0.90550,1.00000,0.01788,0.00000,1.27052,1000,0.01
0.90800,0.99250,0.01651,0.00163,1.29754,100,0.1
0.91300,1.00000,0.01668,0.00000,1.15970,1000,0.1
